List 01 - Edit Flight Form (Sửa chuyến bay)

#,"SharePoint Column Column Name","Column Type","Label","Editable (Yes/No)","Mandatory (Yes/No)","Default Value","Description","Design Solution"
1,FlightCode,"Single line Of Text","Mã chuyến bay",No,Yes,,"Flight identifier/code (e.g., VN-001). Read-only in edit form.","Display as read-only single-line text; prevent modification in UI."
2,DepartureAirport,"Drop-Down List","Sân bay đi",Yes,Yes,,"Departure airport selection.","Drop-Down List populated from Airports master data; validate not equal to ArrivalAirport."
3,ArrivalAirport,"Drop-Down List","Sân bay đến",Yes,Yes,,"Arrival airport selection.","Drop-Down List populated from Airports master data; validate not equal to DepartureAirport."
4,DepartureDateTime,"Date Time","Thời gian khởi hành",Yes,Yes,,"Scheduled departure date and time.","Date Time picker; validate timeline consistency."
5,ArrivalDateTime,"Date Time","Thời gian đến",Yes,Yes,,"Scheduled arrival date and time.","Date Time picker; must be after DepartureDateTime."
6,Airplane,"Drop-Down List","Máy bay",Yes,Yes,,"Aircraft assigned (TailNumber - Model).","Drop-Down List showing tail number and model; validate availability and capacity."
7,IntermediateStops,"Table","Sân bay trung gian",Yes,No,,"Zero or more intermediate stop rows (each: Tuyến bay, Thời gian dừng, Thời gian đến).","Table with per-row columns: Tuyến bay (Drop-Down List), Thời gian dừng (Number, minutes), Thời gian đến (Date Time). Shows current/maximum count (e.g., 1/2)."
8,AddIntermediateButton,"Button","Thêm sân bay trung gian",No,No,,"Adds a new intermediate stop row.","Button to append a table row; disabled when max rows reached."
9,IntermediateRowDeleteButton,"Button","Xóa hàng (thùng rác)",No,No,,"Deletes a specific intermediate stop row after confirmation.","Per-row delete button with confirmation modal."
10,CloseButton,"Button","Đóng",No,No,,"Closes the form/modal without saving.","Dismiss modal and discard unsaved changes."
11,SubmitButton,"Button","Cập nhật chuyến bay",No,No,,"Saves updates to the existing flight record.","Primary action button; disabled until form validation passes."
12,IntermediateNotes,"Multi line of Text","Ghi chú",No,No,,"Helper notes: 'Sân bay trung gian là các điểm dừng giữa sân bay đi và sân bay đến.' 'Thời gian dừng phải trong khoảng từ 30 đến 90 phút.'","Inline helper text area below intermediate stops table."
13,HeaderLabel,"Label","Sửa chuyến bay",No,No,,"Dialog title.","Displayed as header label at top of modal."


Custom Business Rules

#,"Rule Name","Rule Description"
1,Validation Rules,"If any mandatory field is left blank, system shows error message MSG 1."
2,Creating Rule,"Only Administrator has permission to create \"Flight Management\" items."
3,Updating Rule,"Only Administrator has permission to update \"Flight Management\" items."
4,Deleting Rule,"Only Administrator has permission to delete \"Flight Management\" items."
5,Reading Rule,"Only Administrator has permission to read \"Flight Management\" items."
