List 01 - Add Employee Form

#,"SharePoint Column Column Name","Column Type","Label","Editable (Yes/No)","Mandatory (Yes/No)","Default Value","Description","Design Solution"
1,FullName,"Single line Of Text","Họ và tên",Yes,Yes,,"Full name of the employee (e.g., Nguyễn Văn A).","Single-line text input with placeholder 'VD: Nguyễn Văn A'."
2,Email,"Single line Of Text","Email",Yes,Yes,,"Employee email address used for login and notifications.","Single-line text email input; validate email format and uniqueness."
3,PhoneNumber,"Number","Số điện thoại",Yes,Yes,,"Employee phone number (e.g., 0901234567).","Numeric input with phone-format validation; allow leading zeros."
4,IDNumber,"Number","Số CCCD",Yes,Yes,,"Citizen ID number / national ID.","Numeric input; validate length according to rules (example placeholder '123456789012')."
5,EmployeeType,"Drop-Down List","Loại nhân viên",Yes,Yes,,"Role or employee category selection.","Drop-down list populated from employee type master data."
6,PasswordAuto,"Password","Mật khẩu tự động",No,No,Auto,"Indicates password is auto-generated and emailed to employee.","Stored as Password type or system flag; not editable in this form."
7,PasswordInfo,"Multi line of Text","Thông tin mật khẩu",No,No,,"Information text describing password generation and reset behavior.","Inline help box (read-only) displayed in a highlighted panel."
8,CancelButton,"Button","Hủy",No,No,,"Closes the dialog without saving.","Footer left cancel button that dismisses modal and discards changes."
9,SubmitButton,"Button","Thêm nhân viên",No,No,,"Creates the new employee record.","Primary action button in footer; disabled until required validations pass."


Custom Business Rules

#,"Rule Name","Rule Description"
1,Validation Rules,"If any mandatory field is left blank, system shows error message MSG 1."
2,Creating Rule,"Only Administrator has permission to create \"Employee Management\" items."
3,Updating Rule,"Only Administrator has permission to update \"Employee Management\" items."
4,Deleting Rule,"Only Administrator has permission to delete \"Employee Management\" items."
5,Reading Rule,"Only Administrator has permission to read \"Employee Management\" items."
